movie_name,ranking,score,score_num,tag
龙猫,18,9.1,527758,"
                            导演: 宫崎骏 Hayao Miyazaki???主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...,
                            1988?/?日本?/?动画 奇幻 冒险
                        ,
                                ,
                            "
星际穿越,19,9.2,639584,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan???主演: 马修·麦康纳 Matthew Mc...,
                            2014?/?美国 英国 加拿大 冰岛?/?剧情 科幻 冒险
                        ,
                                ,
                            "
熔炉,20,9.2,359618,"
                            导演: 黄东赫 Dong-hyuk Hwang???主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ...,
                            2011?/?韩国?/?剧情
                        ,
                                ,
                            "
无间道,21,9.1,527042,"
                            导演: 刘伟强 / 麦兆辉???主演: 刘德华 / 梁朝伟 / 黄秋生,
                            2002?/?香港?/?剧情 犯罪 悬疑
                        ,
                                ,
                            "
触不可及,22,9.2,458908,"
                            导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano???主...,
                            2011?/?法国?/?剧情 喜剧
                        ,
                                ,
                            "
当幸福来敲门,23,9,685326,"
                            导演: 加布里尔·穆奇诺 Gabriele Muccino???主演: 威尔·史密斯 Will Smith ...,
                            2006?/?美国?/?剧情 传记 家庭
                        ,
                                ,
                            "
乱世佳人,24,9.2,328661,"
                            导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor???主演: 费...,
                            1939?/?美国?/?剧情 历史 爱情 战争
                        ,
                                ,
                            "
怦然心动,25,9,736232,"
                            导演: 罗伯·莱纳 Rob Reiner???主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,
                            2010?/?美国?/?剧情 喜剧 爱情
                        ,
                                ,
                            "
疯狂动物城,26,9.1,695550,"
                            导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore???主演: 金妮弗·...,
                            2016?/?美国?/?喜剧 动画 冒险
                        ,
                                ,
                            "
天堂电影院,27,9.1,361524,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore???主演: 安东娜拉·塔莉 Antonel...,
                            1988?/?意大利 法国?/?剧情 爱情
                        ,
                                ,
                            "
蝙蝠侠：黑暗骑士,28,9.1,423394,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan???主演: 克里斯蒂安·贝尔 Christ...,
                            2008?/?美国 英国?/?剧情 动作 科幻 犯罪 惊悚
                        ,
                                ,
                            "
活着,29,9.1,350441,"
                            导演: 张艺谋 Yimou Zhang???主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,
                            1994?/?中国大陆 香港?/?剧情 历史 家庭
                        ,
                                ,
                            "
十二怒汉,30,9.4,210886,"
                            导演: Sidney Lumet???主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,
                            1957?/?美国?/?剧情
                        ,
                                ,
                            "
少年派的奇幻漂流,31,9,707424,"
                            导演: 李安 Ang Lee???主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,
                            2012?/?美国 台湾 英国 加拿大?/?剧情 奇幻 冒险
                        ,
                                ,
                            "
鬼子来了,32,9.2,292492,"
                            导演: 姜文 Wen Jiang???主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,
                            2000?/?中国大陆?/?剧情 历史 战争
                        ,
                                ,
                            "
指环王3：王者无敌,33,9.1,350144,"
                            导演: 彼得·杰克逊 Peter Jackson???主演: 维果·莫腾森 Viggo Mortensen / ...,
                            2003?/?美国 新西兰?/?剧情 动作 奇幻 冒险
                        ,
                                ,
                            "
搏击俱乐部,34,9,465614,"
                            导演: 大卫·芬奇 David Fincher???主演: 爱德华·诺顿 Edward Norton / 布拉...,
                            1999?/?美国 德国?/?剧情 动作 悬疑 惊悚
                        ,
                                ,
                            "
天空之城,35,9,407152,"
                            导演: 宫崎骏 Hayao Miyazaki???主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,
                            1986?/?日本?/?动画 奇幻 冒险
                        ,
                                ,
                            "
控方证人,36,9.6,140431,"
                            导演: 比利·怀尔德 Billy Wilder???主演: 查尔斯·劳顿 Charles Laughton / ...,
                            1957?/?美国?/?剧情 犯罪 悬疑
                        ,
                                ,
                            "
飞屋环游记,37,8.9,621174,"
                            导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson???主演: 爱德...,
                            2009?/?美国?/?剧情 喜剧 动画 冒险
                        ,
                                ,
                            "
大话西游之月光宝盒,38,8.9,516545,"
                            导演: 刘镇伟 Jeffrey Lau???主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,
                            1995?/?香港 中国大陆?/?喜剧 爱情 奇幻 冒险
                        ,
                                ,
                            "
罗马假日,39,9,472247,"
                            导演: 威廉·惠勒 William Wyler???主演: 奥黛丽·赫本 Audrey Hepburn / 格...,
                            1953?/?美国?/?喜剧 剧情 爱情
                        ,
                                ,
                            "
窃听风暴,40,9.1,279013,"
                            导演: 弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck???...,
                            2006?/?德国?/?剧情 悬疑
                        ,
                                ,
                            "
摔跤吧！爸爸,41,9.1,622150,"
                            导演: 涅提·蒂瓦里 Nitesh Tiwari???主演: 阿米尔·汗 Aamir Khan / 法缇玛...,
                            2016?/?印度?/?剧情 传记 运动 家庭
                        ,
                                ,
                            "
两杆大烟枪,42,9.1,319698,"
                            导演: Guy Ritchie???主演: Jason Flemyng / Dexter Fletcher / Nick Moran,
                            1998?/?英国?/?剧情 喜剧 犯罪
                        ,
                                ,
                            "
辩护人,43,9.2,275827,"
                            导演: 杨宇硕 Woo-seok Yang???主演: 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...,
                            2013?/?韩国?/?剧情
                        ,
                                ,
                            "
闻香识女人,44,9,400124,"
                            导演: 马丁·布莱斯 Martin Brest???主演: 阿尔·帕西诺 Al Pacino / 克里斯...,
                            1992?/?美国?/?剧情
                        ,
                                ,
                            "
飞越疯人院,45,9,323532,"
                            导演: 米洛斯·福尔曼 Milo? Forman???主演: 杰克·尼科尔森 Jack Nichols...,
                            1975?/?美国?/?剧情
                        ,
                                ,
                            "
哈尔的移动城堡,46,8.9,440087,"
                            导演: 宫崎骏 Hayao Miyazaki???主演: 倍赏千惠子 Chieko Baish? / 木村拓...,
                            2004?/?日本?/?动画 奇幻 冒险
                        ,
                                ,
                            "
死亡诗社,47,9,343625,"
                            导演: 彼得·威尔 Peter Weir???主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,
                            1989?/?美国?/?剧情
                        ,
                                ,
                            "
V字仇杀队,48,8.8,519202,"
                            导演: 詹姆斯·麦克特格 James McTeigue???主演: 娜塔莉·波特曼 Natalie Por...,
                            2005?/?美国 英国 德国?/?剧情 动作 科幻 惊悚
                        ,
                                ,
                            "
海豚湾,49,9.3,212777,"
                            导演: Louie Psihoyos???主演: John Chisholm / Mandy-Rae Cruikshank / Char...,
                            2009?/?美国?/?纪录片
                        ,
                                ,
                            "
教父2,50,9.1,233084,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola???主演: 阿尔·帕西诺 A...,
                            1974?/?美国?/?剧情 犯罪
                        ,
                                ,
                            "
指环王2：双塔奇兵,51,9,328420,"
                            导演: 彼得·杰克逊 Peter Jackson???主演: 伊利亚·伍德 Elijah Wood / 西恩...,
                            2002?/?美国 新西兰?/?剧情 动作 奇幻 冒险
                        ,
                                ,
                            "
指环王1：魔戒再现,52,8.9,367789,"
                            导演: 彼得·杰克逊 Peter Jackson???主演: 伊利亚·伍德 Elijah Wood / 西恩...,
                            2001?/?新西兰 美国?/?剧情 动作 奇幻 冒险
                        ,
                                ,
                            "
美丽心灵,53,8.9,366630,"
                            导演: 朗·霍华德 Ron Howard???主演: 罗素·克劳 Russell Crowe / 艾德·哈...,
                            2001?/?美国?/?传记 剧情
                        ,
                                ,
                            "
饮食男女,54,9.1,251857,"
                            导演: 李安 Ang Lee???主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,
                            1994?/?台湾 美国?/?剧情 家庭
                        ,
                                ,
                            "
情书,55,8.8,449034,"
                            导演: 岩井俊二 Shunji Iwai???主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,
                            1995?/?日本?/?剧情 爱情
                        ,
                                ,
                            "
素媛,56,9.1,236386,"
                            导演: 李濬益 Jun-ik Lee???主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,
                            2013?/?韩国?/?剧情
                        ,
                                ,
                            "
狮子王,57,8.9,344760,"
                            导演: Roger Allers / 罗伯·明可夫 Rob Minkoff???主演: 乔纳森·泰勒·托马...,
                            1994?/?美国?/?剧情 动画 冒险 歌舞 家庭
                        ,
                                ,
                            "
美国往事,58,9.1,208869,"
                            导演: 赛尔乔·莱翁内 Sergio Leone???主演: 罗伯特·德尼罗 Robert De Niro ...,
                            1984?/?意大利 美国?/?犯罪 剧情
                        ,
                                ,
                            "
钢琴家,59,9.1,241988,"
                            导演: 罗曼·波兰斯基 Roman Polanski???主演: 艾德里安·布洛迪 Adrien Brod...,
                            2002?/?法国 德国 英国 波兰?/?剧情 传记 历史 战争 音乐
                        ,
                                ,
                            "
小鞋子,60,9.2,174078,"
                            导演: 马基德·马基迪 Majid Majidi???主演: Amir Farrokh Hashemian / 默罕...,
                            1997?/?伊朗?/?剧情 家庭 儿童
                        ,
                                ,
                            "
七宗罪,61,8.8,506918,"
                            导演: 大卫·芬奇 David Fincher???主演: 摩根·弗里曼 Morgan Freeman / 布...,
                            1995?/?美国?/?剧情 犯罪 悬疑 惊悚
                        ,
                                ,
                            "
被嫌弃的松子的一生,62,8.9,362445,"
                            导演: 中岛哲也 Tetsuya Nakashima???主演: 中谷美纪 Miki Nakatani / 瑛太 E...,
                            2006?/?日本?/?剧情 歌舞
                        ,
                                ,
                            "
致命魔术,63,8.8,413375,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan???主演: 休·杰克曼 Hugh Jackman...,
                            2006?/?美国 英国?/?剧情 悬疑 惊悚
                        ,
                                ,
                            "
天使爱美丽,64,8.7,564827,"
                            导演: 让-皮埃尔·热内 Jean-Pierre Jeunet???主演: 奥黛丽·塔图 Audrey Tau...,
                            2001?/?法国 德国?/?喜剧 爱情
                        ,
                                ,
                            "
本杰明·巴顿奇事,65,8.8,470113,"
                            导演: 大卫·芬奇 David Fincher???主演: 凯特·布兰切特 Cate Blanchett / ...,
                            2008?/?美国?/?剧情 爱情 奇幻
                        ,
                                ,
                            "
西西里的美丽传说,66,8.8,435718,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore???主演: 莫妮卡·贝鲁奇 Monica ...,
                            2000?/?意大利 美国?/?剧情 战争 情色
                        ,
                                ,
                            "
黑客帝国,67,8.9,345237,"
                            导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski???主...,
                            1999?/?美国 澳大利亚?/?动作 科幻
                        ,
                                ,
                            "
让子弹飞,68,8.7,763493,"
                            导演: 姜文 Wen Jiang???主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,
                            2010?/?中国大陆 香港?/?剧情 喜剧 动作 西部
                        ,
                                ,
                            "
拯救大兵瑞恩,69,8.9,294635,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg???主演: 汤姆·汉克斯 Tom Hanks...,
                            1998?/?美国?/?剧情 历史 战争
                        ,
                                ,
                            "
音乐之声,70,8.9,276282,"
                            导演: Robert Wise???主演: 朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普...,
                            1965?/?美国?/?剧情 传记 爱情 歌舞
                        ,
                                ,
                            "
看不见的客人,71,8.7,459078,"
                            导演: 奥里奥尔·保罗 Oriol Paulo???主演: 马里奥·卡萨斯 Mario Casas / 阿...,
                            2016?/?西班牙?/?剧情 犯罪 悬疑 惊悚
                        ,
                                ,
                            "
末代皇帝,72,9,231358,"
                            导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci???主演: 尊龙 John Lone / 陈...,
                            1987?/?英国 意大利 中国大陆 法国 美国?/?剧情 传记 历史
                        ,
                                ,
                            "
低俗小说,73,8.8,404083,"
                            导演: 昆汀·塔伦蒂诺 Quentin Tarantino???主演: 约翰·特拉沃尔塔 John Tra...,
                            1994?/?美国?/?剧情 喜剧 犯罪
                        ,
                                ,
                            "
勇敢的心,74,8.8,338926,"
                            导演: 梅尔·吉布森 Mel Gibson???主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...,
                            1995?/?美国?/?动作 传记 剧情 历史 战争
                        ,
                                ,
                            "
剪刀手爱德华,75,8.7,571269,"
                            导演: Tim Burton???主演: 约翰尼·德普 Johnny Depp / 薇诺娜·瑞德 Winona ...,
                            1990?/?美国?/?剧情 奇幻 爱情
                        ,
                                ,
                            "
沉默的羔羊,76,8.8,414168,"
                            导演: 乔纳森·戴米 Jonathan Demme???主演: 朱迪·福斯特 Jodie Foster / 安...,
                            1991?/?美国?/?剧情 犯罪 惊悚
                        ,
                                ,
                            "
大闹天宫,77,9.3,132532,"
                            导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang???主演: 邱岳峰 Yuefeng Qiu /...,
                            1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆)?/?中国大陆?/?动画 奇幻
                        ,
                                ,
                            "
蝴蝶效应,78,8.7,454592,"
                            导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber???主...,
                            2004?/?美国 加拿大?/?剧情 悬疑 科幻 惊悚
                        ,
                                ,
                            "
春光乍泄,79,8.8,297860,"
                            导演: 王家卫 Kar Wai Wong???主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,
                            1997?/?香港 日本 韩国?/?剧情 爱情 同性
                        ,
                                ,
                            "
入殓师,80,8.8,357997,"
                            导演: 泷田洋二郎 Y?jir? Takita???主演: 本木雅弘 Masahiro Motoki / ...,
                            2008?/?日本?/?剧情
                        ,
                                ,
                            "
心灵捕手,81,8.8,328852,"
                            导演: 格斯·范·桑特 Gus Van Sant???主演: 马特·达蒙 Matt Damon / 罗宾·...,
                            1997?/?美国?/?剧情
                        ,
                                ,
                            "
哈利·波特与魔法石,82,8.8,334952,"
                            导演: Chris Columbus???主演: Daniel Radcliffe / Emma Watson / Rupert Grint,
                            2001?/?美国 英国?/?奇幻 冒险
                        ,
                                ,
                            "
玛丽和马克思,83,8.9,260026,"
                            导演: 亚当·艾略特 Adam Elliot???主演: 托妮·科莱特 Toni Collette / 菲利...,
                            2009?/?澳大利亚?/?剧情 动画
                        ,
                                ,
                            "
布达佩斯大饭店,84,8.8,393686,"
                            导演: 韦斯·安德森 Wes Anderson???主演: 拉尔夫·费因斯 Ralph Fiennes / ...,
                            2014?/?美国 德国 英国?/?剧情 喜剧 冒险
                        ,
                                ,
                            "
阳光灿烂的日子,85,8.8,323369,"
                            导演: 姜文 Wen Jiang???主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,
                            1994?/?中国大陆 香港?/?剧情
                        ,
                                ,
                            "
禁闭岛,86,8.7,434545,"
                            导演: Martin Scorsese???主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,
                            2010?/?美国?/?剧情 悬疑 惊悚
                        ,
                                ,
                            "
猫鼠游戏,87,8.8,293903,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg???主演: 莱昂纳多·迪卡普里奥 L...,
                            2002?/?美国 加拿大?/?传记 犯罪 剧情
                        ,
                                ,
                            "
幽灵公主,88,8.8,276399,"
                            导演: 宫崎骏 Hayao Miyazaki???主演: 松田洋治 Y?ji Matsuda / 石田百合...,
                            1997?/?日本?/?动画 奇幻 冒险
                        ,
                                ,
                            "
第六感,89,8.8,276723,"
                            导演: M·奈特·沙马兰 M. Night Shyamalan???主演: 布鲁斯·威利斯 Bruce Wi...,
                            1999?/?美国?/?剧情 悬疑 惊悚
                        ,
                                ,
                            "
重庆森林,90,8.7,393859,"
                            导演: 王家卫 Kar Wai Wong???主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...,
                            1994?/?香港?/?剧情 爱情
                        ,
                                ,
                            "
狩猎,91,9.1,162387,"
                            导演: 托马斯·温特伯格 Thomas Vinterberg???主演: 麦斯·米科尔森 Mads Mik...,
                            2012?/?丹麦 瑞典?/?剧情
                        ,
                                ,
                            "
致命ID,92,8.7,380260,"
                            导演: James Mangold???主演: John Cusack / Ray Liotta / Amanda Peet,
                            2003?/?美国?/?剧情 悬疑 惊悚
                        ,
                                ,
                            "
断背山,93,8.7,378120,"
                            导演: 李安 Ang Lee???主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,
                            2005?/?美国 加拿大?/?剧情 爱情 同性 家庭
                        ,
                                ,
                            "
穿条纹睡衣的男孩,94,8.9,189602,"
                            导演: 马克·赫门 Mark Herman???主演: 阿沙·巴特菲尔德 Asa Butterfield / ...,
                            2008?/?英国 美国?/?剧情 战争
                        ,
                                ,
                            "
大鱼,95,8.7,296217,"
                            导演: 蒂姆·波顿 Tim Burton???主演: 伊万·麦克格雷格 Ewan McGregor / 阿...,
                            2003?/?美国?/?剧情 家庭 奇幻 冒险
                        ,
                                ,
                            "
加勒比海盗,96,8.6,416285,"
                            导演: 戈尔·维宾斯基 Gore Verbinski???主演: 约翰尼·德普 Johnny Depp / ...,
                            2003?/?美国?/?动作 冒险 奇幻
                        ,
                                ,
                            "
阿凡达,97,8.6,627834,"
                            导演: 詹姆斯·卡梅隆 James Cameron???主演: 萨姆·沃辛顿 Sam Worthington ...,
                            2009?/?美国 英国?/?动作 战争 科幻 冒险
                        ,
                                ,
                            "
告白,98,8.7,400735,"
                            导演: 中岛哲也 Tetsuya Nakashima???主演: 松隆子 Takako Matsu / 冈田将生 ...,
                            2010?/?日本?/?剧情 惊悚
                        ,
                                ,
                            "
摩登时代,99,9.2,112159,"
                            导演: 查理·卓别林 Charles Chaplin???主演: 查理·卓别林 Charles Chaplin ...,
                            1936?/?美国?/?喜剧 剧情 爱情
                        ,
                                ,
                            "
一一,100,8.9,180749,"
                            导演: 杨德昌 Edward Yang???主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,
                            2000?/?台湾 日本?/?剧情 爱情 家庭
                        ,
                                ,
                            "
甜蜜蜜,101,8.8,265811,"
                            导演: 陈可辛 Peter Chan???主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,
                            1996?/?香港?/?剧情 爱情
                        ,
                                ,
                            "
射雕英雄传之东成西就,102,8.7,321713,"
                            导演: 刘镇伟 Jeffrey Lau???主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,
                            1993?/?香港?/?喜剧 古装
                        ,
                                ,
                            "
阳光姐妹淘,103,8.8,317046,"
                            导演: 姜炯哲 Hyeong-Cheol Kang???主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,
                            2011?/?韩国?/?剧情 喜剧
                        ,
                                ,
                            "
消失的爱人,104,8.7,428073,"
                            导演: 大卫·芬奇 David Fincher???主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...,
                            2014?/?美国?/?剧情 犯罪 悬疑 惊悚
                        ,
                                ,
                            "
爱在黎明破晓前,105,8.7,264107,"
                            导演: 理查德·林克莱特 Richard Linklater???主演: 伊桑·霍克 Ethan Hawke ...,
                            1995?/?美国 奥地利 瑞士?/?剧情 爱情
                        ,
                                ,
                            "
上帝之城,106,8.9,177072,"
                            导演: Kátia Lund / Fernando Meirelles???主演: Alexandre Rodrigues / Lea...,
                            2002?/?巴西 法国?/?犯罪 剧情
                        ,
                                ,
                            "
侧耳倾听,107,8.8,204501,"
                            导演: 近藤喜文 Yoshifumi Kondo???主演: 本名阳子 Youko Honna / 小林桂树 K...,
                            1995?/?日本?/?剧情 爱情 动画
                        ,
                                ,
                            "
爱在日落黄昏时,108,8.8,233603,"
                            导演: 理查德·林克莱特 Richard Linklater???主演: 伊桑·霍克 Ethan Hawke ...,
                            2004?/?美国?/?剧情 爱情
                        ,
                                ,
                            "
风之谷,109,8.8,204938,"
                            导演: 宫崎骏 Hayao Miyazaki???主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y...,
                            1984?/?日本?/?动画 奇幻 冒险
                        ,
                                ,
                            "
超脱,110,8.8,209988,"
                            导演: 托尼·凯耶 Tony Kaye???主演: 艾德里安·布洛迪 Adrien Brody / 马西...,
                            2011?/?美国?/?剧情
                        ,
                                ,
                            "
小森林 夏秋篇,111,8.9,171009,"
                            导演: 森淳一 Junichi Mori???主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,
                            2014?/?日本?/?剧情
                        ,
                                ,
                            "
喜剧之王,112,8.6,384831,"
                            导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee???主演: 周星驰 Stephen Ch...,
                            1999?/?香港?/?喜剧 剧情 爱情
                        ,
                                ,
                            "
倩女幽魂,113,8.6,312625,"
                            导演: 程小东 Siu-Tung Ching???主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...,
                            1987?/?香港?/?剧情 爱情 武侠 古装
                        ,
                                ,
                            "
恐怖直播,114,8.7,276100,"
                            导演: 金秉祐 Byeong-woo Kim???主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,
                            2013?/?韩国?/?剧情 犯罪 悬疑
                        ,
                                ,
                            "
红辣椒,115,8.9,164178,"
                            导演: 今敏 Satoshi Kon???主演: 林原惠美 Megumi Hayashibara / 古谷彻 T...,
                            2006?/?日本?/?动画 悬疑 科幻 惊悚
                        ,
                                ,
                            "
菊次郎的夏天,116,8.8,224413,"
                            导演: 北野武 Takeshi Kitano???主演: 北野武 Takeshi Kitano / 关口雄介 Yus...,
                            1999?/?日本?/?剧情 喜剧
                        ,
                                ,
                            "
驯龙高手,117,8.7,339633,"
                            导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders???主演:...,
                            2010?/?美国?/?喜剧 动画 奇幻 冒险
                        ,
                                ,
                            "
幸福终点站,118,8.7,261329,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg???主演: 汤姆·汉克斯 Tom Hanks...,
                            2004?/?美国?/?喜剧 剧情 爱情
                        ,
                                ,
                            "
神偷奶爸,119,8.5,455962,"
                            导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud???主演: ...,
                            2010?/?美国 法国?/?喜剧 动画 冒险
                        ,
                                ,
                            "
借东西的小人阿莉埃蒂,120,8.7,252770,"
                            导演: 米林宏昌 Hiromasa Yonebayashi???主演: 志田未来 Mirai Shida / 神木...,
                            2010?/?日本?/?动画 奇幻 冒险
                        ,
                                ,
                            "
岁月神偷,121,8.6,346142,"
                            导演: 罗启锐 Alex Law???主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,
                            2010?/?香港 中国大陆?/?剧情 家庭
                        ,
                                ,
                            "
杀人回忆,122,8.7,243513,"
                            导演: 奉俊昊 Joon-ho Bong???主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,
                            2003?/?韩国?/?犯罪 剧情 悬疑 惊悚
                        ,
                                ,
                            "
七武士,123,9.2,91123,"
                            导演: 黑泽明 Akira Kurosawa???主演: 三船敏郎 Toshir? Mifune / 志村乔 ...,
                            1954?/?日本?/?动作 冒险 剧情
                        ,
                                ,
                            "
萤火虫之墓,124,8.7,233551,"
                            导演: 高畑勋 Isao Takahata???主演: 辰己努 / 白石绫乃 / 志乃原良子,
                            1988?/?日本?/?动画 剧情 战争
                        ,
                                ,
                            "
怪兽电力公司,125,8.6,290515,"
                            导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman???主演: 约...,
                            2001?/?美国?/?儿童 喜剧 动画 奇幻 冒险
                        ,
                                ,
                            "
