country,country1,country2,country_others,director,director_cn1,director_cn2,director_en1,director_en2,info,movie_name,ranking,score,score_num,year
美国,美国,,,比利·怀尔德 Billy Wilder,比利·怀尔德,,Billy Wilder,,"导演: 比利·怀尔德 Billy Wilder   主演: 泰隆·鲍华 Tyrone Power / 玛琳·...
                            1957 / 美国 / 剧情 犯罪 悬疑",控方证人,28,9.6,230052,1957
美国,美国,,,"维克多·弗莱明 Victor Fleming , 乔治·库克 George Cukor",维克多·弗莱明,乔治·库克,Victor Fleming,George Cukor,"导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 费...
                            1939 / 美国 / 剧情 历史 爱情 战争",乱世佳人,29,9.3,425726,1939
美国 中国台湾 英国 加拿大,美国,中国台湾,"英国,加拿大",李安 Ang Lee,李安,,Ang Lee,,"导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...
                            2012 / 美国 中国台湾 英国 加拿大 / 剧情 奇幻 冒险",少年派的奇幻漂流,30,9.0,923066,2012
印度,印度,,,涅提·蒂瓦里 Nitesh Tiwari,涅提·蒂瓦里,,Nitesh Tiwari,,"导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...
                            2016 / 印度 / 剧情 传记 运动 家庭",摔跤吧！爸爸,31,9.0,951327,2016
美国 新西兰,美国,新西兰,,彼得·杰克逊 Peter Jackson,彼得·杰克逊,,Peter Jackson,,"导演: 彼得·杰克逊 Peter Jackson   主演: 维果·莫腾森 Viggo Mortensen / ...
                            2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险",指环王3：王者无敌,32,9.2,468755,2003
美国,美国,,,"彼特·道格特 Pete Docter , 鲍勃·彼德森 Bob Peterson",彼特·道格特,鲍勃·彼德森,Pete Docter,Bob Peterson,"导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...
                            2009 / 美国 / 剧情 喜剧 动画 冒险",飞屋环游记,33,9.0,844372,2009
中国大陆,中国大陆,,,姜文 Wen Jiang,姜文,,Wen Jiang,,"导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...
                            2000 / 中国大陆 / 剧情 历史 战争",鬼子来了,34,9.2,395526,2000
美国,美国,,,Sidney Lumet,,,Sidney Lumet,,"导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...
                            1957 / 美国 / 剧情",十二怒汉,35,9.4,282236,1957
日本,日本,,,宫崎骏 Hayao Miyazaki,宫崎骏,,Hayao Miyazaki,,"导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...
                            1986 / 日本 / 动画 奇幻 冒险",天空之城,36,9.1,543156,1986
美国,美国,,,"李·昂克里奇 Lee Unkrich , 阿德里安·莫利纳 Adrian Molina",李·昂克里奇,阿德里安·莫利纳,Lee Unkrich,Adrian Molina,"导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina   主演: ...
                            2017 / 美国 / 喜剧 动画 奇幻 音乐",寻梦环游记,37,9.1,906220,2017
英国 意大利 中国大陆 法国,英国,意大利,"中国大陆,法国",贝纳尔多·贝托鲁奇 Bernardo Bertolucci,贝纳尔多·贝托鲁奇,,Bernardo Bertolucci,,"导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...
                            1987 / 英国 意大利 中国大陆 法国 / 剧情 传记 历史",末代皇帝,38,9.2,412388,1987
意大利 法国,意大利,法国,,朱塞佩·托纳多雷 Giuseppe Tornatore,朱塞佩·托纳多雷,,Giuseppe Tornatore,,"导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 安东内拉·阿蒂利 Anton...
                            1988 / 意大利 法国 / 剧情 爱情",天堂电影院,39,9.2,440995,1988
中国香港 中国大陆,中国香港,中国大陆,,刘镇伟 Jeffrey Lau,刘镇伟,,Jeffrey Lau,,"导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
                            1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装",大话西游之月光宝盒,40,9.0,747356,1995
日本,日本,,,宫崎骏 Hayao Miyazaki,宫崎骏,,Hayao Miyazaki,,"导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...
                            2004 / 日本 / 动画 奇幻 冒险",哈尔的移动城堡,41,9.0,615807,2004
