movie_name,ranking,director,score,score_num,tag,year,country,actor
低俗小说,73,昆汀·塔伦蒂诺 Quentin Tarantino,8.8,404083,剧情 喜剧 犯罪,1994,美 国, 约翰·特拉沃尔塔 John Tra...
勇敢的心,74,梅尔·吉布森 Mel Gibson,8.8,338926,动作 传记 剧情 历史 战争,1995,美 国, 梅尔·吉布森 Mel Gibson / 苏菲·玛...
剪刀手爱德华,75,Tim Burton,8.7,571269,剧情 奇幻 爱情,1990,美 国, 约翰尼·德普 Johnny Depp / 薇诺娜·瑞德 Winona ...
沉默的羔羊,76,乔纳森·戴米 Jonathan Demme,8.8,414168,剧情 犯罪 惊悚,1991,美 国, 朱迪·福斯特 Jodie Foster / 安...
大闹天宫,77,万籁鸣 Laiming Wan / 唐澄 Cheng  Tang,9.3,132532,动画 奇幻,1961,中 国 大 陆, 邱岳峰 Yuefeng Qiu /...
蝴蝶效应,78,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,8.7,454592,剧情 悬疑 科幻 惊悚,2004,美 国   加 拿 大,
春光乍泄,79,王家卫 Kar Wai Wong,8.8,297860,剧情 爱情 同性,1997,香 港   日 本   韩 国, 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...
入殓师,80,泷田洋二郎 Y?jir? Takita,8.8,357997,剧情,2008,日 本, 本木雅弘 Masahiro Motoki / ...
心灵捕手,81,格斯·范·桑特 Gus Van Sant,8.8,328852,剧情,1997,美 国, 马特·达蒙 Matt Damon / 罗宾·...
哈利·波特与魔法石,82,Chris Columbus,8.8,334952,奇幻 冒险,2001,美 国   英 国, Daniel Radcliffe / Emma Watson / Rupert Grint
玛丽和马克思,83,亚当·艾略特 Adam Elliot,8.9,260026,剧情 动画,2009,澳 大 利 亚, 托妮·科莱特 Toni Collette / 菲利...
布达佩斯大饭店,84,韦斯·安德森 Wes Anderson,8.8,393686,剧情 喜剧 冒险,2014,美 国   德 国   英 国, 拉尔夫·费因斯 Ralph Fiennes / ...
阳光灿烂的日子,85,姜文 Wen Jiang,8.8,323369,剧情,1994,中 国 大 陆   香 港, 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao
禁闭岛,86,Martin Scorsese,8.7,434545,剧情 悬疑 惊悚,2010,美 国, 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...
猫鼠游戏,87,史蒂文·斯皮尔伯格 Steven Spielberg,8.8,293903,传记 犯罪 剧情,2002,美 国   加 拿 大, 莱昂纳多·迪卡普里奥 L...
