movie_name,director,nation,ranking,relinfo,score,tag,year
Bicycle Thieves,Vittorio De Sica,Italy,96,"13 December 1949 (USA)
",8.3," Drama
",1948
To Kill a Mockingbird,Robert Mulligan,USA,97,"16 March 1963 (USA)
",8.3," Crime
, Drama
",1962
The Kid,Charles Chaplin,USA,98,"6 February 1921 (USA)
",8.3," Comedy
, Drama
, Family
",1921
The Sting,George Roy Hill,USA,99,"25 December 1973 (USA)
",8.3," Comedy
, Crime
, Drama
",1973
Toy Story 3,Lee Unkrich,USA,100,"18 June 2010 (USA)
",8.3," Animation
, Adventure
, Comedy
",2010
Good Will Hunting,Gus Van Sant,USA,101,"9 January 1998 (USA)
",8.3," Drama
, Romance
",1997
The Hunt,Thomas Vinterberg,Denmark,102,"10 January 2013 (Denmark)
",8.3," Drama
",2012
Snatch,Guy Ritchie,UK,103,"19 January 2001 (USA)
",8.3," Comedy
, Crime
",2000
Scarface,Brian De Palma,USA,104,"9 December 1983 (USA)
",8.2," Crime
, Drama
",1983
Monty Python and the Holy Grail,Terry Gilliam,UK,105,"27 June 1975 (Ireland)
",8.2," Adventure
, Comedy
, Fantasy
",1975
For a Few Dollars More,Sergio Leone,Italy,106,"10 May 1967 (USA)
",8.2," Western
",1965
The Apartment,Billy Wilder,USA,107,"16 September 1960 (France)
",8.2," Comedy
, Drama
, Romance
",1960
L.A. Confidential,Curtis Hanson,USA,108,"19 September 1997 (USA)
",8.2," Crime
, Drama
, Mystery
",1997
Metropolis,Fritz Lang,Germany,109,"13 March 1927 (USA)
",8.2," Drama
, Sci-Fi
",1927
A Separation,Asghar Farhadi,Iran,110,"13 November 2012 (China)
",8.2," Crime
, Drama
, Family
",2011
Indiana Jones and the Last Crusade,Steven Spielberg,USA,111,"24 May 1989 (USA)
",8.2," Action
, Adventure
, Fantasy
",1989
Rashomon,Akira Kurosawa,Japan,112,"26 December 1951 (USA)
",8.2," Crime
, Drama
, Mystery
",1950
Up,Pete Docter,USA,113,"29 May 2009 (USA)
",8.2," Animation
, Adventure
, Comedy
",2009
All About Eve,Joseph L. Mankiewicz,USA,114,"27 October 1950 (USA)
",8.2," Drama
",1950
Yojimbo,Akira Kurosawa,Japan,115,"13 September 1961 (USA)
",8.2," Action
, Drama
, Thriller
",1961
Batman Begins,Christopher Nolan,USA,116,"15 June 2005 (USA)
",8.2," Action
, Adventure
, Thriller
",2005
Some Like It Hot,Billy Wilder,USA,117,"14 April 1959 (Japan)
",8.2," Comedy
, Romance
",1959
Unforgiven,Clint Eastwood,USA,118,"7 August 1992 (USA)
",8.2," Drama
, Western
",1992
Downfall,Oliver Hirschbiegel,Germany,119,"8 April 2005 (USA)
",8.2," Biography
, Drama
, History
",2004
The Treasure of the Sierra Madre,John Huston,USA,120,"24 January 1948 (USA)
",8.2," Adventure
, Drama
, Western
",1948
Die Hard,John McTiernan,USA,121,"20 July 1988 (USA)
",8.2," Action
, Thriller
",1988
Heat,Michael Mann,USA,122,"15 December 1995 (USA)
",8.2," Crime
, Drama
, Thriller
",1995
Ikiru,Akira Kurosawa,Japan,123,"25 March 1956 (USA)
",8.2," Drama
",1952
Bohemian Rhapsody,Bryan Singer,UK,124,"2 November 2018 (USA)
",8.2," Biography
, Drama
, Music
",2018
Raging Bull,Martin Scorsese,USA,125,"19 December 1980 (USA)
",8.2," Biography
, Drama
, Sport
",1980
Incendies,Denis Villeneuve,Canada,126,"12 January 2011 (France)
",8.2," Drama
, Mystery
, War
",2010
The Great Escape,John Sturges,USA,127,"4 July 1963 (USA)
",8.2," Adventure
, Drama
, History
",1963
Children of Heaven,Majid Majidi,Iran,128,"22 January 1999 (USA)
",8.2," Drama
, Family
",1997
My Father and My Son,?agan Irmak,Turkey,129,"18 November 2005 (Turkey)
",8.2," Drama
, Family
",2005
Pan's Labyrinth,Guillermo del Toro,Spain,130,"19 January 2007 (USA)
",8.2," Drama
, Fantasy
, War
",2006
Chinatown,Roman Polanski,USA,131,"20 June 1974 (USA)
",8.2," Drama
, Mystery
, Thriller
",1974
The Third Man,Carol Reed,UK,132,"12 October 1949 (France)
",8.2," Film-Noir
, Mystery
, Thriller
",1949
My Neighbor Totoro,Hayao Miyazaki,Japan,133,"16 April 1988 (Japan)
",8.2," Animation
, Family
, Fantasy
",1988
Ran,Akira Kurosawa,Japan,134,"1 June 1985 (Japan)
",8.2," Action
, Drama
",1985
Howl's Moving Castle,Hayao Miyazaki,Japan,135,"17 June 2005 (USA)
",8.2," Animation
, Adventure
, Family
",2004
Judgment at Nuremberg,Stanley Kramer,USA,136,"18 December 1961 (Sweden)
",8.2," Drama
, War
",1961
The Secret in Their Eyes,Juan Jos¨¦ Campanella,Argentina,137,"21 May 2010 (USA)
",8.2," Drama
, Mystery
, Romance
",2009
The Gold Rush,Charles Chaplin,USA,138,"1925 (Germany)
",8.2," Adventure
, Comedy
, Drama
",1925
The Bridge on the River Kwai,David Lean,UK,139,"14 December 1957 (USA)
",8.2," Adventure
, Drama
, War
",1957
"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,UK,140,"1 December 2017 (USA)
",8.2," Comedy
, Crime
, Drama
",2017
A Beautiful Mind,Ron Howard,USA,141,"4 January 2002 (USA)
",8.2," Biography
, Drama
",2001
"Lock, Stock and Two Smoking Barrels",Guy Ritchie,UK,142,"28 August 1998 (UK)
",8.2," Comedy
, Crime
",1998
On the Waterfront,Elia Kazan,USA,143,"22 June 1954 (Japan)
",8.2," Crime
, Drama
, Thriller
",1954
Casino,Martin Scorsese,USA,144,"22 November 1995 (USA)
",8.2," Crime
, Drama
",1995
The Seventh Seal,Ingmar Bergman,Sweden,145,"13 October 1958 (USA)
",8.2," Drama
, Fantasy
",1957
Inside Out,Pete Docter,USA,146,"19 June 2015 (USA)
",8.1," Animation
, Adventure
, Comedy
",2015
